iter	RMSE
0	0.8786323917
1	0.8377315421
2	0.79933949
3	0.7620043366
4	0.7269683224
5	0.6935208318
6	0.6611854197
7	0.6308820446
8	0.6019516506
9	0.5745583264
10	0.5479930117
11	0.5227087158
12	0.4995907267
13	0.4763086074
14	0.4550996387
15	0.4336591308
16	0.4137647017
17	0.3949032304
18	0.3780322585
19	0.3605642396
20	0.3442282723
21	0.3288137294
22	0.3138468732
23	0.2999888856
24	0.286341505
25	0.2738126447
26	0.2614845001
27	0.2504583668
28	0.2394405622
29	0.2283410948
30	0.2183316681
31	0.2083540894
32	0.1989832355
33	0.1899633333
34	0.1816845328
35	0.1735411531
36	0.1657039215
37	0.1588033039
38	0.1518993306
39	0.1453315151
40	0.1394129908
41	0.1336460989
42	0.127952115
43	0.1228856943
44	0.1180161356
45	0.1132793014
46	0.1086437852
47	0.1044543579
48	0.1004370584
49	0.0964747751
50	0.09294267534
51	0.08943785148
52	0.08613349122
53	0.08306395124
54	0.08023396093
55	0.07759766379
56	0.07494244469
57	0.07259952211
58	0.07031221642
59	0.06813245806
60	0.06626498428
61	0.06431896729
62	0.0625158361
63	0.06084232454
64	0.0592563999
65	0.05778616125
66	0.05643283758
67	0.05502266697
68	0.05381197523
69	0.0526235367
70	0.05154193423
71	0.05056658021
72	0.04954671055
73	0.0486238886
74	0.04781129073
75	0.04703688209
76	0.0462761307
77	0.04562040642
78	0.04495754779
79	0.044287384
80	0.04369537189
81	0.04310669525
82	0.04263518953
83	0.04213307037
84	0.04169948425
85	0.04121063719
86	0.040802485
87	0.04035341269
88	0.03994561113
89	0.03959697894
90	0.03922706826
91	0.03889425786
92	0.03851985451
93	0.03825419379
94	0.03796218544
95	0.0377388119
96	0.03747201893
97	0.03717508812
98	0.03698392951
99	0.0367723608
100	0.03655163463
101	0.03637347035
102	0.03620181784
103	0.03597042621
104	0.03579206471
105	0.03562612304
106	0.03546325498
107	0.03531500716
108	0.03513617783
109	0.03502034511
110	0.03488393499
111	0.03475728272
112	0.03463127774
113	0.03452972034
114	0.0344129899
115	0.03429030651
116	0.03414535702
117	0.03397597864
118	0.03385512415
119	0.03374604699
120	0.03363925673
121	0.03351122637
122	0.03340279078
123	0.03325420118
124	0.03315561458
125	0.03303918949
126	0.03291695543
127	0.03278423011
128	0.03272281305
129	0.0326430315
130	0.03259063135
131	0.03252678616
132	0.03244584477
133	0.03232816969
134	0.03223858084
135	0.03215702703
136	0.03204487277
137	0.03198343707
138	0.03191362416
139	0.03184632899
140	0.03179139112
141	0.03170279698
142	0.03164053584
143	0.03153714674
144	0.03148209472
145	0.03143964524
146	0.03135801284
147	0.0312940773
148	0.03117326772
149	0.0311223159
150	0.03105576289
151	0.03095547105
152	0.0309099053
153	0.03084287327
154	0.03079842579
155	0.03073996544
156	0.03064337856
157	0.03058219821
158	0.03052327568
159	0.03047250753
160	0.03041400393
161	0.03036095532
162	0.03027552603
163	0.03020036507
164	0.0301572815
165	0.03011539418
166	0.03007417227
167	0.02998301679
168	0.02992438483
169	0.029890788
170	0.02981293151
171	0.02977123816
172	0.02972087788
173	0.02967062019
174	0.0295844466
175	0.0295037424
176	0.02946276683
177	0.02943000116
178	0.02936123976
179	0.02932594398
180	0.0292791711
181	0.02924816203
182	0.0291837415
183	0.02914917544
184	0.02911810994
185	0.02901257813
186	0.02895734637
187	0.02886092199
188	0.0288101872
189	0.02876187424
190	0.02868396433
191	0.02865440518
192	0.0286074835
193	0.02854104178
194	0.02849652386
195	0.02843588913
196	0.02840131066
197	0.0283092423
198	0.02828000014
199	0.02822795093
200	0.02817077172
201	0.02810468951
202	0.02802877012
203	0.02799001581
204	0.027960308
205	0.02792968506
206	0.02784434161
207	0.02778144531
208	0.02774480105
209	0.02770753068
210	0.02768475932
211	0.02762930129
212	0.02755789406
213	0.02752922271
214	0.02747378557
215	0.02741712842
216	0.02738748625
217	0.02735579439
218	0.02732353417
219	0.02728303773
220	0.02721785354
221	0.0271867327
222	0.02711657412
223	0.02706790986
224	0.02704150531
225	0.02700687585
226	0.02697359189
227	0.02694742575
228	0.02688701399
229	0.02685926907
230	0.02679193649
231	0.02675598087
232	0.02670047424
233	0.02666362111
234	0.02660550503
235	0.02657830077
236	0.02651892929
237	0.02647934925
238	0.02645739767
239	0.02641616905
240	0.02636754137
241	0.02632398132
242	0.02629565929
243	0.02624752001
244	0.0262172185
245	0.02616436397
246	0.0261149054
247	0.02606658662
248	0.02603587772
249	0.02600929513
250	0.0259681097
251	0.02592965053
252	0.02588422402
253	0.02584873746
254	0.02581783819
255	0.02574711126
256	0.02570611453
257	0.02568071858
258	0.02562536814
259	0.02559811079
260	0.02556109732
261	0.02553103128
262	0.02548565883
263	0.02545670387
264	0.02541825691
265	0.02538446458
266	0.02536512528
267	0.0253363839
268	0.0252973128
269	0.02526856274
270	0.02523349061
271	0.02521036808
272	0.02517966391
273	0.02514795744
274	0.02512414604
275	0.02507830343
276	0.02505647211
277	0.02501750418
278	0.02498512999
279	0.02494555957
280	0.02492636817
281	0.0248934975
282	0.02485032021
283	0.02482967179
284	0.02480027161
285	0.02476252689
286	0.02474163485
287	0.0247225948
288	0.02470466723
289	0.02468583981
290	0.02465103899
291	0.02463298571
292	0.0246033831
293	0.02455355768
294	0.02453012718
295	0.02448585885
296	0.02444802366
297	0.02441320685
298	0.02436999798
299	0.02434498495
300	0.02433117861
301	0.02431224432
302	0.0242798976
303	0.02425599183
304	0.02421820077
305	0.02420247724
306	0.02418758414
307	0.02414182112
308	0.02412755988
309	0.02409054474
310	0.02405994704
311	0.02403087647
312	0.02399191161
313	0.02395227341
314	0.02390299077
315	0.02387211861
316	0.02385157702
317	0.02382568564
318	0.02379760532
319	0.02374952849
320	0.02373050575
321	0.02369889045
322	0.02366395149
323	0.02364284695
324	0.02361704122
325	0.02359694887
326	0.02356830345
327	0.02354184541
328	0.02351406922
329	0.02349004032
330	0.0234550436
331	0.02342442815
332	0.02339591995
333	0.02337302908
334	0.02334759068
335	0.02332802259
336	0.02330195455
337	0.02327202789
338	0.02324786807
339	0.02322101296
340	0.02319502775
341	0.02316663628
342	0.0231509291
343	0.0231272581
344	0.0231003941
345	0.02308837711
346	0.02306506725
347	0.02304481838
348	0.02301926932
349	0.02300043617
350	0.02297895449
351	0.02294969424
352	0.02293688801
353	0.02291337255
354	0.02289262361
355	0.02287094343
356	0.02283334172
357	0.02281016586
358	0.02278521812
359	0.02276427436
360	0.02274428977
361	0.02273033641
362	0.02269825251
363	0.02266968896
364	0.02264422482
365	0.02261881021
366	0.02258326907
367	0.02256071006
368	0.02253770543
369	0.02251025697
370	0.02248011763
371	0.02244880857
372	0.02243376552
373	0.02240971962
374	0.0223853024
375	0.02235565874
376	0.0223423955
377	0.02231587092
378	0.02229647231
379	0.02227740316
380	0.02224211732
381	0.02222989299
382	0.02219984866
383	0.02218063613
384	0.02216580123
385	0.0221469538
386	0.02212457389
387	0.02210754829
388	0.02209485219
389	0.02208393064
390	0.02206367867
391	0.02203827149
392	0.0220121468
393	0.02199191767
394	0.02196957467
395	0.02195285151
396	0.0219317438
397	0.02191736986
398	0.02189711183
399	0.02187445486
400	0.02185768459
401	0.02184547205
402	0.02182440163
403	0.02180779425
404	0.021784115
405	0.02174880091
406	0.02172463449
407	0.02170598318
408	0.02168952011
409	0.02167269414
410	0.02165518614
411	0.02163082722
412	0.02160720972
413	0.02158905622
414	0.0215712106
415	0.02155495337
416	0.02153186725
417	0.02150765692
418	0.02149620192
419	0.02147797665
420	0.02146805858
421	0.02145090164
422	0.02143239216
423	0.02141872444
424	0.02140087481
425	0.02138315416
426	0.02137377043
